Designator,Footprint,Comment,Manufacturer Part Number,Manufacturer,Quantity,LCSC
C1 C2 C3 C4 C5 C6 C7 C8,0805,2.2uF ±10% 50V X5R,CL21A225KBQNNNE,Samsung Electro-Mechanics,8,C377773
D1 D2 D3 D4,SMA_L4.2-W2.6-LS5.0-RD_1,,SS14,MDD(辰达半导体),4,C2480
L1 L2 L3 L4,"SMD,5.8x5.2mm",68uH ±10% 600mA,CY54-68UH,SHOU HAN,4,C2929435
LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8,LED-SMD_L3.3-W2.8-RD,,HL-AM-2835D1W-S1-08-HR3,HONGLITRONIC(鸿利光电),8,C210324
LED9 LED10 LED11 LED12 LED13 LED14 LED15 LED16,LED-SMD_L3.5-W2.8-FD-2835_WHITE,,HL-AM-2835D1W-S1-08-HR3(2600K-2800K),HONGLITRONIC(鸿利光电),8,C3000013
R1 R2 R3 R4,0805,1Ω ±1% 125mW,0805W8F100KT5E,UNI-ROYAL(Uniroyal Elec),4,C25271
R5 R6 R7 R8,0402,100kΩ ±1% 62.5mW,0402WGF1003TCE,UNI-ROYAL(Uniroyal Elec),4,C25741
R9 R10 R11 R12,0402,2.2kΩ ±1% 62.5mW,0402WGF2201TCE,UNI-ROYAL(Uniroyal Elec),4,C25879
R13 R14 R15 R16,0805,4.7Ω ±1% 125mW,0805W8F470KT5E,UNI-ROYAL(Uniroyal Elec),4,C17675
R17 R18 R19 R20,0805,10kΩ ±1% 125mW,0805W8F1002T5E,UNI-ROYAL(Uniroyal Elec),4,C17414
TP1 TP2 TP3 TP4,,,TestPoint,Generic,4,
U1 U2 U3 U4,SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR,,PT4115,UMW(友台半导体),4,C347356
